MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments,,
3266,1.0927952265E-03,5.3227751662E-04,2.2287794590E-06,2010-02-01,TB110032,0.0009,,,
3266,1.0529356809E-03,5.4592905460E-04,1.9906265004E-06,2004-11-04,TB104310,-0.0010,,,
3266,1.0470988558E-03,5.4799131776E-04,1.9524251091E-06,2003-08-08,TB103220,0.0011,,,
3266,9.9973628329E-04,5.6418913056E-04,1.6743527016E-06,2002-04-01,TB102100,-0.0030,high residuals for all MTRs on this run,,
3267,1.0662981100E-03,5.4295652197E-04,2.0472351916E-06,2014-06-20,TB114171,0.0014,,,
3267,1.0302344901E-03,5.5542237446E-04,1.8274467694E-06,2004-11-04,TB104310,0.0006,,,
3267,1.0244728196E-03,5.5751708066E-04,1.7860199231E-06,2003-08-08,TB103220,0.0012,,,
3267,9.7916134102E-04,5.7287065934E-04,1.5286970665E-06,2002-04-01,TB102100,-0.0064,,,
3268,1.0033974852E-03,5.6407154473E-04,1.6258422759E-06,2002-04-01,TB102100,-0.0051,,,
3269,9.7203028703E-04,5.7021491315E-04,1.5632013773E-06,2002-04-01,TB102100,-0.0050,,,
3273,1.0416816299E-03,5.4717639215E-04,1.9336935079E-06,2013-04-17,TB113107,-0.0017,,,
3273,1.0629320484E-03,5.3995637788E-04,2.0572554571E-06,2011-07-21,TB104091,-0.0008,,,
3273,1.1026809237E-03,5.2648400563E-04,2.2888210808E-06,2010-02-01,TB110032,-0.0003,,,
3273,1.0895938256E-03,5.3108245365E-04,2.2043725260E-06,2006-06-30,TB106174,-0.0006,,,
3273,1.0507068485E-03,5.4420310254E-04,1.9826979456E-06,2004-01-29,TB104030,-0.0008,,,
3273,1.0552308310E-03,5.4278333832E-04,2.0033704318E-06,2003-03-25,TB103084,0.0009,,,
3273,5.2533073905E-10,9.0079099559E-04,-4.0971222126E-06,2002-01-16,TB102016,-0.0302,,,
3275,5.3719451715E-10,9.0713784629E-04,-4.2416545208E-06,2002-01-16,TB102016,-0.0294,,,
3276,1.1911685414E-03,5.0087324681E-04,2.6897584373E-06,2004-11-04,TB104310,-0.0155,,,
3276,1.0902382327E-03,5.3492252825E-04,2.1156510404E-06,2003-08-11,TB103223,-0.0144,,,
3276,8.6687896748E-04,6.1166504225E-04,7.7444175430E-07,2003-08-08,TB103220,-0.0113,,,
3276,8.0756550000E-04,6.1016140000E-04,8.0018840000E-07,2001-08-13,,-0.0102,high residuals for all MTRs on this run,,
3322,1.0322734388E-03,5.5103949218E-04,1.8722162454E-06,2014-06-20,TB114171,0.0020,,,
3322,1.0013390321E-03,5.6170761102E-04,1.6866276573E-06,2004-11-04,TB104310,-0.0008,,,
