MTR-SN,Coeff-A,Coeff-B,Coeff-C,Calibration Date,comments,Cal. Residual,comments
3200,1.1164326956E-03,5.3143692609E-04,2.2573572783E-06,3-Jul-14,TB114184,0.001,
3200,1.1150421210E-03,5.3208789937E-04,2.2413728004E-06,30-Jun-06,TB106174,-0.0008,
3200,1.0330764527E-03,5.6019797033E-04,1.7508765579E-06,17-May-04,TB104139,-0.0013,
3200,1.0907869750E-03,5.4027140727E-04,2.1026377529E-06,29-Jan-04,TB104030,-0.0011,
3200,1.0936023177E-03,5.3943449082E-04,2.1130602999E-06,9-Jan-03,,-0.0007,
3200,1.0495025968E-03,5.5471390394E-04,1.8435469803E-06,1-Apr-02,TB102100,0.0033,
3202,1.0919320803E-03,5.3798508599E-04,2.1422095129E-06,9-Jul-16,TB116190,0.0007,
3202,1.0772796601E-03,5.4288319082E-04,2.0591970452E-06,21-Jan-14,TB114021,-0.002,
3202,1.0842824802E-03,5.4052412761E-04,2.0983671767E-06,21-Jul-11,TB104091,-0.0007,
3202,1.1118789234E-03,5.3105550449E-04,2.2659539776E-06,1-Feb-10,TB110032,-0.0007,
3202,1.1042459581E-03,5.3381242985E-04,2.2127768740E-06,30-Jun-06,TB106174,0.0005,
3202,1.0722136512E-03,5.4482383948E-04,2.0191671373E-06,30-Mar-04,TB104091,-0.0022,
3202,1.0533222744E-03,5.5136513747E-04,1.9032276892E-06,24-Mar-99,TB103084,-0.0014,
3217,1.0687907125E-03,5.4767611001E-04,1.9966447730E-06,8-Aug-03,TB103220,-0.0007,
3217,1.0843181648E-03,5.4224366259E-04,2.0996470837E-06,1-Oct-01,TB101243,0.0023,
3251,1.0771999608E-03,5.3922970737E-04,2.0931168959E-06,9-Jul-16,TB116190,-0.0011,
3251,1.0995809967E-03,5.3139481025E-04,2.2342025149E-06,13-Nov-15,TB115317,0.0024,
3251,1.0417929183E-03,5.5126365686E-04,1.8859167384E-06,17-Apr-13,TB113107,-0.0022,
3251,1.0698764316E-03,5.4168666241E-04,2.0505721524E-06,21-Jul-11,TB104091,-0.0005,
3251,1.1033807571E-03,5.3025115426E-04,2.2500684431E-06,1-Feb-10,TB110032,0.0008,
3251,1.0974805919E-03,5.3240157884E-04,2.2078741557E-06,30-Jun-06,TB106174,-0.0006,
3251,1.0443794474E-03,5.5056798336E-04,1.8915224204E-06,8-Aug-03,TB103220,-0.0016,
3251,1.0507330000E-03,5.2925330000E-04,2.1686690000E-06,13-Aug-01,,-0.0015,
3252,1.0512512320E-03,5.4433026648E-04,2.0047285735E-06,9-Jul-16,TB116190,-0.0017,This mtr stopped early in calibration run but it seems OK
3252,1.0760315467E-03,5.4458136352E-04,2.0592372367E-06,20-Jun-14,TB114171,-0.002,2Á C reading not used to calc residuals
3252,1.0468428014E-03,5.4596042087E-04,1.9719490552E-06,8-Aug-03,TB103220,-0.0012,
3252,1.0444697202E-03,5.4667885608E-04,1.9647208552E-06,19-Jan-02,TB102019,0.0013,
3253,1.0867455164E-03,5.3250471059E-04,2.1747620756E-06,6-Jul-06,TB106187,-0.0008,
3253,1.0474110581E-03,5.4598569219E-04,1.9386061306E-06,8-Aug-03,TB103220,-0.0011,
3253,1.0426188393E-03,5.4749752182E-04,1.9191322649E-06,19-Jan-02,TB102019,0.0013,
3254,1.0620463223E-03,5.4105468161E-04,2.0340721398E-06,6-Jul-06,TB106187,-0.0009,
3254,1.0583093651E-03,5.4229844223E-04,2.0136843960E-06,4-Nov-04,TB104310,-0.0007,
3254,1.0573780115E-03,5.4247247397E-04,2.0156438755E-06,29-Jan-04,TB104030,-0.0012,
3254,1.0977455302E-03,5.2882923338E-04,2.2467170352E-06,9-Jan-03,,0.0017,
3254,1.0514367691E-03,5.4461063992E-04,1.9768978750E-06,19-Jan-02,TB102019,0.0015,
3255,1.0519019415E-03,5.4638237338E-04,1.9363437033E-06,21-Jan-14,TB114021,-0.0018,
3255,1.0146776857E-03,5.5909940057E-04,1.7163064898E-06,17-Apr-13,TB113107,-0.0043,
3255,1.0451371455E-03,5.4878669463E-04,1.8910581248E-06,21-Jul-11,TB104091,0.0025,
3255,1.1041911806E-03,5.2859611401E-04,2.2431256937E-06,3-Feb-10,TB110034,0.0026,
3255,1.0795223628E-03,5.3715160065E-04,2.0908440310E-06,6-Jul-06,TB106187,0.0016,
3255,1.0742809970E-03,5.3889930369E-04,2.0620396374E-06,4-Nov-04,TB104310,0.0013,
3255,1.0507086310E-03,5.4680566165E-04,1.9307301396E-06,29-Jan-04,TB104030,0.0011,
3255,1.0659638068E-03,5.4172062838E-04,2.0145015519E-06,9-Jan-03,,0.0007,
3255,1.0660022512E-03,5.4165587970E-04,2.0189304530E-06,19-Jan-02,TB102019,-0.0009,
3258,1.0613348094E-03,5.4218792002E-04,2.0263869407E-06,9-Jan-03,,-0.0007,
3258,1.0592696622E-03,5.4288194726E-04,2.0160023571E-06,19-Jan-02,TB102019,0.0005,
3260,1.0839008327E-03,5.3612704711E-04,2.1274654347E-06,9-Jan-03,,-0.0015,
3260,1.0676544598E-03,5.4165045532E-04,2.0344096751E-06,19-Jan-02,TB102019,0.0007,
3261,1.0884509712E-03,5.3576140357E-04,2.1638081330E-06,9-Jan-03,,0.001,
3261,1.0244250000E-03,5.3840910000E-04,2.0275710000E-06,9-Mar-01,,-0.0015,
3262,1.0890265974E-03,5.3325076962E-04,2.1955266136E-06,9-Jan-03,,0.0006,
3262,1.0417500000E-03,5.3033150000E-04,2.1514930000E-06,9-Mar-01,,-0.0017,
3263,1.0206787141E-03,5.5684974855E-04,1.7466302804E-06,17-Apr-13,TB113107,-0.0016,
3263,1.0350597862E-03,5.5183239070E-04,1.8374577058E-06,21-Jul-11,TB104091,0.0006,
3263,1.0636107532E-03,5.4225139130E-04,1.9991532990E-06,1-Feb-10,TB110032,-0.0013,
3263,1.0440215907E-03,5.4904507817E-04,1.8773823644E-06,30-Jun-06,TB106174,-0.0008,
3263,1.0132620539E-03,5.5948898862E-04,1.6990206479E-06,4-Nov-04,TB104310,0.0007,
3263,1.0511363313E-03,5.4659474591E-04,1.9209053168E-06,9-Jan-03,,0.0007,
3263,1.0020390000E-03,5.4403260000E-04,1.8820000000E-06,9-Mar-01,,-0.0005,
3264,1.0362678096E-03,5.5266504084E-04,1.8438968795E-06,29-May-13,TB113149,0.0014,
3264,1.0663055623E-03,5.4239825867E-04,2.0209754821E-06,21-Jul-11,TB104091,-0.0009,
3264,1.0918901490E-03,5.3369561310E-04,2.1724218351E-06,1-Feb-10,TB110032,0.0017,
3264,1.0617498849E-03,5.4405621200E-04,1.9908719351E-06,4-Nov-04,TB104310,0.001,
3264,1.0705575920E-03,5.4105471142E-04,2.0432139799E-06,9-Jan-03,,0.0006,
3264,1.0460630000E-03,5.3041680000E-04,2.1313430000E-06,9-Mar-01,,-0.002,
3265,1.0674691316E-03,5.3779220184E-04,2.0903779453E-06,3-Jul-14,TB114184,0.0008,
3265,1.0360881761E-03,5.4860968996E-04,1.9003534399E-06,4-Nov-04,TB104310,-0.0008,
3265,1.0371967352E-03,5.4811643111E-04,1.9128509708E-06,29-Jan-04,TB104030,-0.0012,
3265,1.0561427649E-03,5.4179269229E-04,2.0177149448E-06,25-Mar-03,TB102016,0.0015,
3265,5.2424980628E-10,8.9980525888E-04,-4.0724494644E-06,16-Jan-02,TB103084,-0.0306,2Á C reading not used to calc residuals
3266,1.0385278954E-03,5.5073035745E-04,1.9108206639E-06,17-Apr-13,TB113107,-0.002,
3266,1.0927952265E-03,5.3227751662E-04,2.2287794590E-06,1-Feb-10,TB110032,0.0009,
3266,1.0529356809E-03,5.4592905460E-04,1.9906265004E-06,4-Nov-04,TB104310,-0.001,
3266,1.0470988558E-03,5.4799131776E-04,1.9524251091E-06,8-Aug-03,TB103220,0.0011,
3266,9.9973628329E-04,5.6418913056E-04,1.6743527016E-06,1-Apr-02,TB102100,-0.003,high residuals for all MTRs on this run
3267,1.0621449839E-03,5.4444589290E-04,2.0204178279E-06,9-Jul-16,TB116190,0.001,
3267,1.0662713088E-03,5.4296710502E-04,2.0470029037E-06,20-Jun-14,TB114171,0.0014,
3267,1.0302344901E-03,5.5542237446E-04,1.8274467694E-06,4-Nov-04,TB104310,0.0006,
3267,1.0244728196E-03,5.5751708066E-04,1.7860199231E-06,8-Aug-03,TB103220,0.0012,
3267,9.7916134102E-04,5.7287065934E-04,1.5286970665E-06,1-Apr-02,TB102100,-0.0064,
3268,1.0033974852E-03,5.6407154473E-04,1.6258422759E-06,1-Apr-02,TB102100,-0.0051,
3269,9.7203028703E-04,5.7021491315E-04,1.5632013773E-06,1-Apr-02,TB102100,-0.005,
3273,1.0690804058E-03,5.3795173992E-04,2.0908104351E-06,9-Jul-16,TB116190,0.0008,
3273,1.0934929172E-03,5.2941891311E-04,2.2434863096E-06,13-Nov-15,TB115317,-0.0014,
3273,1.0416816299E-03,5.4717639215E-04,1.9336935079E-06,17-Apr-13,TB113107,-0.0017,
3273,1.0629320484E-03,5.3995637788E-04,2.0572554571E-06,21-Jul-11,TB104091,-0.0008,
3273,1.1026809237E-03,5.2648400563E-04,2.2888210808E-06,1-Feb-10,TB110032,-0.0003,
3273,1.0895938256E-03,5.3108245365E-04,2.2043725260E-06,30-Jun-06,TB106174,-0.0006,
3273,1.0507068485E-03,5.4420310254E-04,1.9826979456E-06,29-Jan-04,TB104030,-0.0008,
3273,1.0552308310E-03,5.4278333832E-04,2.0033704318E-06,25-Mar-03,TB103084,0.0009,
3273,5.2533073905E-10,9.0079099559E-04,-4.0971222126E-06,16-Jan-02,TB102016,-0.0302,
3275,5.3719451715E-10,9.0713784629E-04,-4.2416545208E-06,16-Jan-02,TB102016,-0.0294,
3276,1.0317083617E-03,5.5483445803E-04,1.7758501673E-06,22-Mar-16,TB116082,0.0125,
3276,1.0834907653E-03,5.3721923691E-04,2.0768646377E-06,3-Jul-14,TB114184,0.0144,
3276,1.1911685414E-03,5.0087324681E-04,2.6897584373E-06,4-Nov-04,TB104310,-0.0155,
3276,1.0902382327E-03,5.3492252825E-04,2.1156510404E-06,11-Aug-03,TB103223,-0.0144,
3276,8.6687896748E-04,6.1166504225E-04,7.7444175430E-07,8-Aug-03,TB103220,-0.0113,
3276,8.0756550000E-04,6.1016140000E-04,8.0018840000E-07,13-Aug-01,,-0.0102,high residuals for all MTRs on this run
3322,1.0372424626E-03,5.4940560454E-04,1.8998289504E-06,9-Jul-16,TB116190,-0.0006,
3322,1.0486716037E-03,5.4535146190E-04,1.9734941190E-06,13-Nov-15,TB115317,0.001,
3322,1.0323267502E-03,5.5102466399E-04,1.8723566595E-06,20-Jun-14,TB114171,0.0019,
3322,1.0013390321E-03,5.6170761102E-04,1.6866276573E-06,4-Nov-04,TB104310,-0.0008,
3322,1.0058567684E-03,5.6007391173E-04,1.7181328730E-06,29-Jan-04,TB104030,-0.0016,
3322,1.0274513238E-03,5.5281563625E-04,1.8400553582E-06,25-Mar-03,TB103084,0.0013,
3322,4.9694123062E-10,9.0171260078E-04,-4.1158211489E-06,16-Jan-02,TB102016,-0.0294,
3328,1.0545420887E-03,5.4613583569E-04,1.9856880133E-06,8-Nov-04,TB104313,-0.0009,
3328,1.0566585934E-03,5.4532810991E-04,2.0027042168E-06,29-Jan-04,TB104030,-0.0011,
3328,1.0440017543E-03,5.4973063259E-04,1.9259572399E-06,19-Jan-02,TB102019,0.0009,
3333,1.0722469184E-03,5.4483825106E-04,2.0339900362E-06,19-Jan-02,TB102019,-0.0006,
4002,1.0284992657E-03,5.5348130584E-04,1.8533583532E-06,17-May-04,TB104139,-0.0013,
4003,1.1054561554E-03,5.2877013256E-04,2.2991872336E-06,20-Jun-14,TB114171,0.0016,high residuals for all MTRs on this run
4003,1.0787329176E-03,5.3783022189E-04,2.1447375882E-06,19-Apr-13,TB113019,-0.0019,
4003,1.0912130415E-03,5.3376992403E-04,2.2103554317E-06,30-Mar-04,TB104091,-0.0019,
4004,1.1089194612E-03,5.2607395945E-04,2.3361551809E-06,9-Jul-16,TB116190,-0.0012,
4004,1.1260161996E-03,5.2002501789E-04,2.4466096058E-06,13-Nov-15,TB115317,-0.0012,
4004,1.1238984122E-03,5.2071504324E-04,2.4348404934E-06,17-Apr-13,TB113107,0.0032,
4004,1.1056072590E-03,5.2708518461E-04,2.3200128488E-06,21-Jul-11,TB104091,0.0005,
4004,1.1106555522E-03,5.2542192879E-04,2.3499919021E-06,3-Feb-10,TB110034,0.0011,
4004,1.0996304499E-03,5.2920497491E-04,2.2836723210E-06,18-Jan-08,TB108019,-0.0007,
4004,1.1162672222E-03,5.2363417484E-04,2.3764619891E-06,30-Jun-06,TB106174,0.0005,
4004,1.0941431955E-03,5.3113605699E-04,2.2489655133E-06,30-Mar-04,TB104091,-0.002,
4006,1.0686937212E-03,5.4285275152E-04,2.0522296926E-06,17-May-04,TB104139,0.0013,
4008,1.1143999233E-03,5.2524373361E-04,2.3452750731E-06,12-Jul-16,TB116193,0.0016,
4008,1.1038196629E-03,5.2866510343E-04,2.2915414656E-06,20-Jun-14,TB114171,0.002,
4008,1.0449831631E-03,5.4883266700E-04,1.9415063368E-06,17-May-04,TB104139,0.0014,
4008,1.0899076904E-03,5.3356933797E-04,2.2025588128E-06,30-Mar-04,TB104091,-0.0021,
4009,1.0546077666E-03,5.4551346628E-04,2.0005692735E-06,17-May-04,TB104139,0.0014,
4010,1.0394965957E-03,5.5231314089E-04,1.8951815960E-06,17-May-04,TB104139,0.0016,
4011,1.0389135177E-03,5.4936855700E-04,1.9361234340E-06,17-May-04,TB104139,-0.0013,
4014,1.0916510544E-03,5.3075101498E-04,2.2574524696E-06,30-Mar-04,TB104091,-0.0021,
4015,1.0569513640E-03,5.4399899358E-04,2.0246784957E-06,17-May-04,TB104139,-0.0015,
4016,1.1076863777E-03,5.2553104899E-04,2.3324931625E-06,12-Jul-16,TB116193,0.0021,
4016,1.0527728167E-03,5.4408778091E-04,2.0175645957E-06,21-Jan-14,TB114021,-0.0032,
4016,1.0823534320E-03,5.3401919687E-04,2.1891353751E-06,21-Jul-11,TB104091,-0.0014,
4016,1.1099884996E-03,5.2468921325E-04,2.3500852481E-06,3-Feb-10,TB110034,0.0011,
4016,1.0908722786E-03,5.3127171721E-04,2.2341309592E-06,18-Jan-08,TB108019,0.001,
4016,1.1027748699E-03,5.2732732834E-04,2.2980135332E-06,30-Jun-06,TB106174,0.0009,
4018,1.0619126956E-03,5.4297328531E-04,2.0391078897E-06,17-May-04,TB104139,-0.0017,
4019,1.0858724332E-03,5.3405799965E-04,2.1580591791E-06,21-Jan-14,TB114021,-0.002,
4019,1.0429042642E-03,5.4877124084E-04,1.9023511377E-06,23-Jan-12,TB112023,-0.0006,
4019,1.0762235204E-03,5.3743702708E-04,2.0984595127E-06,18-Jan-08,TB108019,-0.0009,
4019,1.0752355068E-03,5.3783134874E-04,2.0896545394E-06,8-Nov-04,TB104313,-0.0009,
4019,1.0661368204E-03,5.4100555784E-04,2.0329625554E-06,30-Mar-04,TB104091,-0.0021,
4022,1.0500000000E-03,5.4858000000E-04,1.0600000000E-06,17-Jul-00,TB100197,0.0009,
4024,1.0883930000E-03,5.3262060000E-04,2.1977060000E-06,4-Apr-01,,0.0011,
4027,1.1153250000E-03,5.2346490000E-04,2.3902820000E-06,4-Apr-01,,-0.001,
4028,1.0930360000E-03,5.3401750000E-04,2.2103480000E-06,4-Apr-01,,-0.0016,
4029,1.1104400000E-03,5.2560200000E-04,2.3505240000E-06,4-Apr-01,,-0.0015,
4030,1.0852383630E-03,5.3920706306E-04,2.1338110254E-06,8-Aug-03,TB103220,0.0012,
4030,1.1133690000E-03,5.2940110000E-04,2.3092520000E-06,4-Apr-01,,-0.0009,
4031,1.1097966691E-03,5.2421942619E-04,2.3334233951E-06,20-Jun-14,TB114171,0.0015,
4031,1.0688554686E-03,5.3827189624E-04,2.0898389220E-06,12-Jan-03,,0.0011,
4032,1.0726700727E-03,5.3865922941E-04,2.1301817133E-06,21-Jan-14,TB114021,-0.0019,
4032,1.0250960452E-03,5.5496892986E-04,1.8465651745E-06,23-Jan-12,TB112023,-0.0008,
4032,1.0929645516E-03,5.3181542781E-04,2.2471813753E-06,18-Jan-08,TB108019,-0.0008,
4032,1.0711322925E-03,5.3930208250E-04,2.1166282937E-06,8-Nov-04,TB104313,-0.0008,
4032,1.0918177767E-03,5.3211058489E-04,2.2456909990E-06,29-Jan-04,TB104030,0.0013,
4032,1.0973562062E-03,5.3037498625E-04,2.2707153796E-06,25-Mar-03,TB103084,0.001,
4033,1.0858816578E-03,5.3405819115E-04,2.1579413683E-06,21-Jan-14,TB114021,-0.002,
4033,1.0381263518E-03,5.4994085263E-04,1.9026294379E-06,23-Jan-12,TB112023,0.0007,
4033,1.1152907729E-03,5.2357526989E-04,2.3601867433E-06,18-Jan-08,TB108019,-0.001,
4033,1.1308316399E-03,5.1839447820E-04,2.4456235933E-06,30-Jun-06,TB106174,0.0008,
4033,1.1077857517E-03,5.2608338067E-04,2.3194949049E-06,29-Jan-04,TB104030,0.0017,
4033,1.1167200675E-03,5.2317258755E-04,2.3654578638E-06,25-Mar-03,TB103084,0.0015,
4034,1.0934567576E-03,5.3091394201E-04,2.2311485855E-06,3-Jul-14,TB114184,0.0011,
4034,,,,8-Nov-04,TB104313,,bad calibration for this MTR - not enough records recorded; lge gaps in data
4034,1.0840585704E-03,5.3421304903E-04,2.1724411822E-06,25-Mar-03,TB103084,0.0013,
4035,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,16-Jul-00,TB196,-0.0005,
4038,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,16-Jul-00,TB196,-0.0005,
4039,1.0283827954E-03,5.5394947155E-04,1.8563587713E-06,17-May-04,TB104139,0.0012,dummy calibration (do not use)
4040,1.0939987827E-03,5.3330696415E-04,2.2005838682E-06,18-Jan-08,TB108019,0.0018,dummy calibration (do not use)
4040,1.0976246221E-03,5.3208661348E-04,2.2210494978E-06,8-Nov-04,TB104313,0.0018,
4040,1.0920200994E-03,5.3405508406E-04,2.1853909220E-06,30-Mar-04,TB104091,-0.0028,
4041,1.1116074111E-03,5.2479673567E-04,2.3377214684E-06,30-Jun-06,TB106174,-0.0008,
4041,1.0895032561E-03,5.3228147255E-04,2.2110640873E-06,30-Mar-04,TB104091,-0.002,
4042,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,16-Jul-00,TB196,-0.0005,
4043,1.1301401589E-03,5.2342075344E-04,2.3953844201E-06,30-Jun-06,TB106174,-0.0004,
4044,1.1168494135E-03,5.2261996352E-04,2.3792011917E-06,12-Jul-16,TB116193,0.002,
4044,1.1180709840E-03,5.2199095290E-04,2.3966303427E-06,13-Nov-15,TB115317,0.0011,dummy calibration (do not use)
4044,1.1054573909E-03,5.2636267381E-04,2.3183669401E-06,20-Jun-14,TB114171,0.0016,
4044,1.0346771622E-03,5.5057752613E-04,1.8978683633E-06,23-Jan-12,TB112023,-0.0005,
4044,1.1019711987E-03,5.2772382767E-04,2.2903070027E-06,6-Jul-06,TB106187,0.0006,
4044,1.0570951487E-03,5.4305824934E-04,2.0252360937E-06,30-Mar-04,TB104091,-0.0023,
4045,1.1785460002E-03,5.0820624715E-04,2.6410158364E-06,16-Jul-00,TB196,-0.0005,
4046,1.1154487536E-03,5.2153187242E-04,2.3873158581E-06,12-Jul-16,TB116193,0.002,
4046,1.0904532247E-03,5.2989310144E-04,2.2449913132E-06,21-Jul-11,TB104091,-0.0005,
4046,1.1427865353E-03,5.1215311966E-04,2.5499083063E-06,1-Feb-10,TB110032,0.0008,
4046,1.0899736590E-03,5.3010336070E-04,2.2420982300E-06,18-Jan-08,TB108019,0.0018,
4046,1.0976543349E-03,5.2754660698E-04,2.2840184898E-06,8-Nov-04,TB104313,-0.002,
4046,1.1307481249E-03,5.1624223403E-04,2.4790773499E-06,11-Aug-03,TB103223,0.0028,
4048,1.0343199369E-03,5.5286689609E-04,1.8674285389E-06,23-Jan-12,TB112023,0.0009,dummy calibration (do not use)
4048,1.1237233625E-03,5.2225675218E-04,2.4017994766E-06,1-Feb-10,TB110032,-0.0008,
4048,1.1156516757E-03,5.2517029995E-04,2.3459859426E-06,30-Jun-06,TB106174,-0.0008,
4048,1.0893393022E-03,5.3404925473E-04,2.1962348118E-06,8-Nov-04,TB104313,-0.0005,
4048,1.0893384342E-03,5.3407596927E-04,2.1954823711E-06,30-Mar-04,TB104091,-0.0019,
4049,1.1043809470E-03,5.2930325554E-04,2.2712485157E-06,3-Jul-14,TB114184,-0.0009,
4049,1.0399506310E-03,5.5140153762E-04,1.8846940845E-06,23-Jan-12,TB112023,0.0009,
4049,1.1145800698E-03,5.2582139381E-04,2.3322032307E-06,1-Feb-10,TB110032,0.0005,
4049,1.0874793402E-03,5.3511954560E-04,2.1695741036E-06,8-Nov-04,TB104313,-0.0004,
4049,1.0818819458E-03,5.3699849184E-04,2.1388329341E-06,19-May-04,TB104141,-0.0004,
4050,1.0770473740E-03,5.3517005849E-04,2.1611858499E-06,22-Mar-16,TB116082,0.0007,
4050,1.1230275741E-03,5.1942413451E-04,2.4335509649E-06,3-Jul-14,TB114184,-0.0014,
4050,1.0786439953E-03,5.3459069237E-04,2.1730576668E-06,19-May-04,TB104141,-0.0014,
4051,1.0784152176E-03,5.3649556968E-04,2.1524722175E-06,19-May-04,TB104141,0.0009,
4052,1.0742491491E-03,5.3744717397E-04,2.1360110475E-06,19-May-04,TB104141,0.0018,
4053,1.0681682897E-03,5.4240558306E-04,2.0485679452E-06,12-Jul-16,TB116193,0.0021,
4053,1.0762017167E-03,5.3916089888E-04,2.1165791008E-06,29-May-13,TB113149,0.0009,
4053,1.0460217086E-03,5.4954145203E-04,1.9340640099E-06,23-Jan-12,TB112023,0.0016,
4053,1.1000796165E-03,5.3099317543E-04,2.2568246470E-06,19-May-04,TB104141,0.0012,
4054,1.1215708351E-03,5.2191358916E-04,2.3816773398E-06,12-Jul-16,TB116193,0.0024,This residual seems a bit high
4054,1.0332409049E-03,5.5194266324E-04,1.8651429326E-06,23-Jan-12,TB112023,-0.0012,
4054,1.1227562292E-03,5.2139123555E-04,2.3947964253E-06,1-Feb-10,TB110032,-0.0015,
4054,1.0912201712E-03,5.3207367024E-04,2.2119988006E-06,18-Jan-08,TB108019,-0.0007,
4054,1.1160305962E-03,5.2353935942E-04,2.3616794214E-06,19-May-04,TB104141,-0.0016,
4055,1.0475069985E-03,5.4673865905E-04,1.9823164976E-06,29-May-13,TB113149,0.0014,
4055,1.0745170165E-03,5.3742981602E-04,2.1458890705E-06,19-Apr-13,TB113019,-0.0019,
4055,1.0764995086E-03,5.3692485526E-04,2.1506399133E-06,10-Jul-06,TB106191,0.0007,
4055,1.0672500994E-03,5.4003122606E-04,2.0987666194E-06,19-May-04,TB104141,-0.0009,
4057,1.1086777084E-03,5.2723408519E-04,2.3238291249E-06,30-Jun-06,TB106174,0.0009,
4058,1.1039321704E-03,5.3300009022E-04,2.2501557884E-06,6-Jul-06,TB106187,0.0019,
4058,1.0904362477E-03,5.3761652318E-04,2.1703624721E-06,30-Mar-04,TB104091,0.0011,
4059,1.0885059893E-03,5.3418233292E-04,2.1917511019E-06,10-Jul-06,TB106191,0.0007,
4059,1.0982575182E-03,5.3079170835E-04,2.2519968824E-06,8-Nov-04,TB104313,0.0012,
4060,1.1150996602E-03,5.2357833241E-04,2.3717805482E-06,12-Jul-16,TB116193,0.0022,This residual seems a bit high
4060,1.0463666786E-03,5.4688780338E-04,1.9732459077E-06,29-May-13,TB113149,-0.0014,
4060,1.0356957741E-03,5.5056335268E-04,1.9080963543E-06,23-Jan-12,TB112023,-0.0008,
4060,1.1062684877E-03,5.2649915060E-04,2.3248023240E-06,1-Feb-10,TB110032,0.0015,
4060,1.0917241427E-03,5.3147439156E-04,2.2390132280E-06,18-Jan-08,TB108019,0.0008,
4060,1.0701106002E-03,5.3881974365E-04,2.1137384793E-06,19-May-04,TB104141,0.0016,
4061,1.0800704299E-03,5.3591646196E-04,2.1669166730E-06,10-Jul-06,TB106191,0.0006,
4061,1.0778980812E-03,5.3660616296E-04,2.1572724851E-06,19-May-04,TB104141,0.0007,
4063,1.0779442037E-03,5.3548888556E-04,2.2064398029E-06,22-Mar-16,TB116082,0.0015,
4063,1.0857680166E-03,5.3286269823E-04,2.2495790408E-06,30-Mar-04,TB104091,-0.0032,
4064,1.0856590984E-03,5.3501713997E-04,2.1770694257E-06,6-Jul-06,TB106187,0.0007,
4065,1.1125488318E+00,5.2550104441E-04,2.3537404252E-06,12-Jul-16,TB116193,-0.0015,
4065,1.0924501796E-03,5.3237988168E-04,2.2346810172E-06,10-Jul-06,TB106191,0.0004,
4065,1.0761984964E-03,5.3789856446E-04,2.1406508587E-06,19-May-04,TB104141,0.0009,
4066,1.1203179241E-03,5.2480791788E-04,2.3549775480E-06,12-Jul-16,TB116193,0.0022,This residual seems a bit high
