time,15ckpitae_s37_0001m.unqcd,15ckpitae_s37_0001m.unqcd.localtime,15ckpitae_s37_0025m.unqcd
2015-08-05 03:00:00,29.458,29.439,32.124
2015-08-05 04:00:00,29.4,29.486,32.084
2015-08-05 05:00:00,29.321,29.523,32.226
2015-08-05 06:00:00,29.265,29.53,32.245
2015-08-05 07:00:00,29.25,29.526,32.269
2015-08-05 08:00:00,29.284,29.507,32.242
2015-08-05 09:00:00,29.383,29.48,32.16
2015-08-05 10:00:00,29.439,29.403,32.058
2015-08-05 11:00:00,29.486,29.415,31.922
2015-08-05 12:00:00,29.523,29.5,31.892
2015-08-05 13:00:00,29.53,29.471,31.994
2015-08-05 14:00:00,29.526,29.462,32.203
2015-08-05 15:00:00,29.507,29.443,32.19
2015-08-05 16:00:00,29.48,29.434,31.929
2015-08-05 17:00:00,29.403,29.439,31.862
2015-08-05 18:00:00,29.415,29.458,31.869
2015-08-05 19:00:00,29.5,29.446,31.989
2015-08-05 20:00:00,29.471,29.451,31.889
2015-08-05 21:00:00,29.462,29.427,31.938
2015-08-05 22:00:00,29.443,29.43,31.969
2015-08-05 23:00:00,29.434,29.462,32.161
2015-08-06 00:00:00,29.439,29.433,32.277
2015-08-06 01:00:00,29.458,29.44,32.227
2015-08-06 02:00:00,29.446,29.446,32.043
2015-08-06 03:00:00,29.451,29.445,32.126
2015-08-06 04:00:00,29.427,29.504,32.163
2015-08-06 05:00:00,29.43,29.557,32.234
2015-08-06 06:00:00,29.462,29.518,32.266
2015-08-06 07:00:00,29.433,29.499,32.226
2015-08-06 08:00:00,29.44,29.508,32.221
2015-08-06 09:00:00,29.446,29.49,32.294
2015-08-06 10:00:00,29.445,29.497,32.279
2015-08-06 11:00:00,29.504,29.496,32.229
2015-08-06 12:00:00,29.557,29.556,32.182
2015-08-06 13:00:00,29.518,29.652,32.279
2015-08-06 14:00:00,29.499,29.7,32.286
2015-08-06 15:00:00,29.508,29.757,32.284
2015-08-06 16:00:00,29.49,29.824,32.305
2015-08-06 17:00:00,29.497,29.928,32.3
2015-08-06 18:00:00,29.496,30.016,32.291
2015-08-06 19:00:00,29.556,30.111,32.254
2015-08-06 20:00:00,29.652,30.058,32.279
2015-08-06 21:00:00,29.7,29.76,32.312
2015-08-06 22:00:00,29.757,29.253,32.243
2015-08-06 23:00:00,29.824,29.174,32.214
2015-08-07 00:00:00,29.928,29.175,32.219
2015-08-07 01:00:00,30.016,29.167,32.118
2015-08-07 02:00:00,30.111,29.183,32.12
2015-08-07 03:00:00,30.058,29.231,32.175
2015-08-07 04:00:00,29.76,29.257,32.18
2015-08-07 05:00:00,29.253,29.304,32.166
2015-08-07 06:00:00,29.174,29.257,32.142
2015-08-07 07:00:00,29.175,29.227,32.126
2015-08-07 08:00:00,29.167,29.22,32.189
2015-08-07 09:00:00,29.183,29.266,32.128
2015-08-07 10:00:00,29.231,29.326,32.191
2015-08-07 11:00:00,29.257,29.389,32.179
2015-08-07 12:00:00,29.304,29.432,32.079
2015-08-07 13:00:00,29.257,29.496,32.104
2015-08-07 14:00:00,29.227,29.492,32.158
2015-08-07 15:00:00,29.22,29.459,32.214
2015-08-07 16:00:00,29.266,29.455,32.183
2015-08-07 17:00:00,29.326,29.456,32.194
2015-08-07 18:00:00,29.389,29.47,32.244
2015-08-07 19:00:00,29.432,29.478,32.169
2015-08-07 20:00:00,29.496,29.536,32.158
2015-08-07 21:00:00,29.492,29.582,32.123
2015-08-07 22:00:00,29.459,29.721,32.233
2015-08-07 23:00:00,29.455,29.751,32.235
2015-08-08 00:00:00,29.456,29.764,32.214
2015-08-08 01:00:00,29.47,29.629,32.255
2015-08-08 02:00:00,29.478,29.479,32.237
2015-08-08 03:00:00,29.536,29.372,32.216
2015-08-08 04:00:00,29.582,29.31,32.222
2015-08-08 05:00:00,29.721,29.328,32.216
2015-08-08 06:00:00,29.751,29.457,32.222
2015-08-08 07:00:00,29.764,29.659,32.22
2015-08-08 08:00:00,29.629,29.739,32.214
2015-08-08 09:00:00,29.479,29.828,32.201
2015-08-08 10:00:00,29.372,29.858,32.201
2015-08-08 11:00:00,29.31,29.873,32.215
2015-08-08 12:00:00,29.328,29.918,32.19
2015-08-08 13:00:00,29.457,29.969,32.184
2015-08-08 14:00:00,29.659,30.007,32.217
2015-08-08 15:00:00,29.739,30.049,32.229
2015-08-08 16:00:00,29.828,30.085,32.222
2015-08-08 17:00:00,29.858,30.011,32.221
2015-08-08 18:00:00,29.873,29.998,32.212
2015-08-08 19:00:00,29.918,30.156,32.191
2015-08-08 20:00:00,29.969,30.404,32.194
2015-08-08 21:00:00,30.007,30.371,32.186
2015-08-08 22:00:00,30.049,30.366,32.18
2015-08-08 23:00:00,30.085,30.418,32.19
2015-08-09 00:00:00,30.011,30.45,32.172
2015-08-09 01:00:00,29.998,30.465,32.161
2015-08-09 02:00:00,30.156,30.532,32.151
2015-08-09 03:00:00,30.404,30.597,32.155
2015-08-09 04:00:00,30.371,30.903,32.144
2015-08-09 05:00:00,30.366,30.743,32.146
2015-08-09 06:00:00,30.418,30.613,32.132
2015-08-09 07:00:00,30.45,30.596,32.139
2015-08-09 08:00:00,30.465,30.634,32.125
2015-08-09 09:00:00,30.532,30.647,32.135
2015-08-09 10:00:00,30.597,30.663,32.133
2015-08-09 11:00:00,30.903,30.682,32.117
2015-08-09 12:00:00,30.743,30.757,32.11
