time,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m
2024-05-29 19:00:00,329.177,384.098
2024-05-29 20:00:00,329.761,385.615
2024-05-29 21:00:00,330.416,384.91
2024-05-29 22:00:00,330.61,385.674
2024-05-29 23:00:00,330.326,385.988
2024-05-30 00:00:00,329.903,386.276
2024-05-30 01:00:00,328.022,386.969
2024-05-30 02:00:00,323.051,387.904
2024-05-30 03:00:00,316.362,381.127
2024-05-30 04:00:00,313.298,383.529
2024-05-30 05:00:00,314.748,387.387
2024-05-30 06:00:00,315.605,386.529
2024-05-30 07:00:00,315.942,388.042
2024-05-30 08:00:00,318.658,395.595
2024-05-30 09:00:00,320.152,399.923
2024-05-30 10:00:00,325.508,401.115
2024-05-30 11:00:00,327.376,399.758
2024-05-30 12:00:00,328.154,399.374
2024-05-30 13:00:00,327.782,398.354
2024-05-30 14:00:00,327.439,398.883
2024-05-30 15:00:00,326.965,399.082
2024-05-30 16:00:00,326.136,399.672
2024-05-30 17:00:00,325.572,401.549
2024-05-30 18:00:00,325.592,402.56
2024-05-30 19:00:00,326.433,404.263
2024-05-30 20:00:00,327.573,404.62
2024-05-30 21:00:00,328.651,408.634
2024-05-30 22:00:00,329.33,412.81
2024-05-30 23:00:00,329.742,415.106
2024-05-31 00:00:00,329.507,416.103
2024-05-31 01:00:00,328.466,416.78
2024-05-31 02:00:00,326.591,418.827
2024-05-31 03:00:00,322.508,418.853
2024-05-31 04:00:00,319.492,417.579
2024-05-31 05:00:00,316.372,420.613
2024-05-31 06:00:00,313.59,421.375
2024-05-31 07:00:00,312.327,421.555
2024-05-31 08:00:00,313.728,422.446
2024-05-31 09:00:00,319.63,423.738
2024-05-31 10:00:00,325.614,424.873
2024-05-31 11:00:00,327.362,425.97
2024-05-31 12:00:00,328.424,426.139
2024-05-31 13:00:00,328.546,424.967
2024-05-31 14:00:00,327.14,423.09
2024-05-31 15:00:00,326.258,422.469
2024-05-31 16:00:00,325.288,423.076
2024-05-31 17:00:00,323.781,424.583
2024-05-31 18:00:00,322.653,425.105
2024-05-31 19:00:00,322.292,426.191
2024-05-31 20:00:00,322.753,429.454
2024-05-31 21:00:00,324.726,433.471
2024-05-31 22:00:00,326.774,436.103
2024-05-31 23:00:00,327.743,437.558
2024-06-01 00:00:00,328.24,438.358
2024-06-01 01:00:00,327.992,439.247
2024-06-01 02:00:00,327.139,439.557
2024-06-01 03:00:00,325.005,440.38
2024-06-01 04:00:00,322.168,440.129
2024-06-01 05:00:00,320.298,437.236
2024-06-01 06:00:00,315.884,429.469
2024-06-01 07:00:00,312.714,425.446
2024-06-01 08:00:00,313.16,433.753
2024-06-01 09:00:00,319.28,436.814
2024-06-01 10:00:00,322.788,436.288
2024-06-01 11:00:00,326.163,434.136
2024-06-01 12:00:00,327.239,431.536
2024-06-01 13:00:00,326.645,428.306
2024-06-01 14:00:00,326.613,426.598
2024-06-01 15:00:00,325.093,426.059
2024-06-01 16:00:00,324.057,427.17
2024-06-01 17:00:00,323.319,429.183
2024-06-01 18:00:00,322.815,432.512
2024-06-01 19:00:00,321.203,434.993
2024-06-01 20:00:00,319.861,436.927
2024-06-01 21:00:00,319.3,437.984
2024-06-01 22:00:00,320.76,439.57
2024-06-01 23:00:00,323.0,441.285
2024-06-02 00:00:00,325.249,442.721
2024-06-02 01:00:00,325.897,443.963
2024-06-02 02:00:00,325.372,446.233
2024-06-02 03:00:00,323.939,447.918
2024-06-02 04:00:00,322.531,447.949
2024-06-02 05:00:00,321.363,447.584
2024-06-02 06:00:00,321.359,445.694
2024-06-02 07:00:00,321.456,444.559
2024-06-02 08:00:00,321.087,442.028
2024-06-02 09:00:00,319.907,440.242
2024-06-02 10:00:00,319.814,442.231
2024-06-02 11:00:00,322.165,443.295
2024-06-02 12:00:00,323.667,447.356
2024-06-02 13:00:00,323.433,447.464
2024-06-02 14:00:00,323.137,443.696
2024-06-02 15:00:00,323.874,439.981
2024-06-02 16:00:00,324.366,437.909
2024-06-02 17:00:00,324.076,438.638
2024-06-02 18:00:00,322.861,438.558
2024-06-02 19:00:00,321.942,439.796
2024-06-02 20:00:00,319.578,434.461
2024-06-02 21:00:00,315.846,434.413
2024-06-02 22:00:00,314.242,429.584
2024-06-02 23:00:00,317.056,427.316
2024-06-03 00:00:00,318.529,434.875
2024-06-03 01:00:00,320.342,440.696
2024-06-03 02:00:00,321.853,444.053
2024-06-03 03:00:00,321.421,444.071
2024-06-03 04:00:00,320.78,446.122
2024-06-03 05:00:00,322.152,443.847
2024-06-03 06:00:00,323.619,435.733
2024-06-03 07:00:00,324.129,431.512
2024-06-03 08:00:00,323.622,425.893
2024-06-03 09:00:00,323.235,422.746
2024-06-03 10:00:00,322.638,421.943
2024-06-03 11:00:00,321.638,423.699
2024-06-03 12:00:00,321.918,420.277
2024-06-03 13:00:00,324.252,414.679
2024-06-03 14:00:00,324.424,407.307
2024-06-03 15:00:00,326.332,401.658
2024-06-03 16:00:00,328.629,395.242
2024-06-03 17:00:00,331.989,385.894
2024-06-03 18:00:00,331.87,373.115
2024-06-03 19:00:00,330.024,368.922
2024-06-03 20:00:00,327.741,362.157
2024-06-03 21:00:00,323.662,356.483
2024-06-03 22:00:00,319.601,359.212
2024-06-03 23:00:00,319.011,358.383
2024-06-04 00:00:00,318.36,355.602
2024-06-04 01:00:00,319.527,356.502
2024-06-04 02:00:00,322.147,358.739
2024-06-04 03:00:00,321.584,357.907
2024-06-04 04:00:00,322.582,358.154
2024-06-04 05:00:00,324.213,355.099
2024-06-04 06:00:00,326.717,350.882
2024-06-04 07:00:00,329.501,345.96
2024-06-04 08:00:00,329.373,343.159
2024-06-04 09:00:00,328.469,342.355
2024-06-04 10:00:00,327.09,340.789
2024-06-04 11:00:00,328.737,341.494
2024-06-04 12:00:00,330.414,344.302
2024-06-04 13:00:00,333.83,346.61
2024-06-04 14:00:00,336.186,346.411
2024-06-04 15:00:00,337.044,345.866
2024-06-04 16:00:00,337.401,345.011
2024-06-04 17:00:00,337.81,343.396
2024-06-04 18:00:00,336.599,342.87
2024-06-04 19:00:00,334.481,342.128
2024-06-04 20:00:00,327.496,338.74
2024-06-04 21:00:00,322.562,336.943
2024-06-04 22:00:00,320.336,336.296
2024-06-04 23:00:00,320.633,336.774
2024-06-05 00:00:00,322.48,336.55
2024-06-05 01:00:00,324.132,336.462
2024-06-05 02:00:00,325.079,337.238
2024-06-05 03:00:00,325.158,338.408
2024-06-05 04:00:00,322.684,339.569
2024-06-05 05:00:00,322.923,339.567
2024-06-05 06:00:00,327.592,340.892
2024-06-05 07:00:00,330.302,341.602
2024-06-05 08:00:00,330.723,341.123
2024-06-05 09:00:00,330.865,340.096
2024-06-05 10:00:00,330.241,339.014
2024-06-05 11:00:00,329.181,338.624
2024-06-05 12:00:00,330.168,339.057
2024-06-05 13:00:00,332.278,339.743
2024-06-05 14:00:00,333.314,340.522
2024-06-05 15:00:00,333.361,341.08
2024-06-05 16:00:00,333.692,341.347
2024-06-05 17:00:00,333.87,341.689
2024-06-05 18:00:00,333.964,341.575
2024-06-05 19:00:00,333.284,340.476
2024-06-05 20:00:00,326.369,337.991
2024-06-05 21:00:00,320.395,337.108
2024-06-05 22:00:00,319.863,336.028
2024-06-05 23:00:00,319.365,335.345
2024-06-06 00:00:00,318.699,335.038
2024-06-06 01:00:00,319.722,334.74
2024-06-06 02:00:00,321.66,334.656
2024-06-06 03:00:00,322.478,335.452
