time,15ckpitae_s37_0001m,15ckpitae_s37_0025m
2015-07-24 14:00:00,31.359,32.372
2015-07-24 15:00:00,31.346,32.362
2015-07-24 16:00:00,31.334,32.358
2015-07-24 17:00:00,31.329,32.369
2015-07-24 18:00:00,31.32,32.365
2015-07-24 19:00:00,31.3,32.363
2015-07-24 20:00:00,31.296,32.371
2015-07-24 21:00:00,31.274,32.346
2015-07-24 22:00:00,31.103,32.365
2015-07-24 23:00:00,30.959,32.367
2015-07-25 00:00:00,30.961,32.372
2015-07-25 01:00:00,31.011,32.378
2015-07-25 02:00:00,31.054,32.367
2015-07-25 03:00:00,31.08,32.371
2015-07-25 04:00:00,31.095,32.365
2015-07-25 05:00:00,31.108,32.362
2015-07-25 06:00:00,31.116,32.353
2015-07-25 07:00:00,31.132,32.36
2015-07-25 08:00:00,31.176,32.356
2015-07-25 09:00:00,31.274,32.343
2015-07-25 10:00:00,31.336,32.354
2015-07-25 11:00:00,31.396,32.348
2015-07-25 12:00:00,31.402,32.351
2015-07-25 13:00:00,31.421,32.359
2015-07-25 14:00:00,31.445,32.351
2015-07-25 15:00:00,31.462,32.348
2015-07-25 16:00:00,31.473,32.36
2015-07-25 17:00:00,31.431,32.372
2015-07-25 18:00:00,31.408,32.34
2015-07-25 19:00:00,31.396,32.35
2015-07-25 20:00:00,31.381,32.35
2015-07-25 21:00:00,31.313,32.36
2015-07-25 22:00:00,31.316,32.369
2015-07-25 23:00:00,31.334,32.367
2015-07-26 00:00:00,31.35,32.37
2015-07-26 01:00:00,31.358,32.37
2015-07-26 02:00:00,31.357,32.368
2015-07-26 03:00:00,31.354,32.372
2015-07-26 04:00:00,31.359,32.371
2015-07-26 05:00:00,31.354,32.37
2015-07-26 06:00:00,31.344,32.37
2015-07-26 07:00:00,31.34,32.371
2015-07-26 08:00:00,31.341,32.375
2015-07-26 09:00:00,31.346,32.373
2015-07-26 10:00:00,31.364,32.376
2015-07-26 11:00:00,31.372,32.376
2015-07-26 12:00:00,31.101,32.375
2015-07-26 13:00:00,31.051,32.37
2015-07-26 14:00:00,31.005,32.35
2015-07-26 15:00:00,31.006,32.365
2015-07-26 16:00:00,31.023,32.354
2015-07-26 17:00:00,31.025,32.346
2015-07-26 18:00:00,31.031,32.343
2015-07-26 19:00:00,31.036,32.351
2015-07-26 20:00:00,31.039,32.355
2015-07-26 21:00:00,31.042,32.338
2015-07-26 22:00:00,31.047,32.343
2015-07-26 23:00:00,31.053,32.355
2015-07-27 00:00:00,31.058,32.337
2015-07-27 01:00:00,31.068,32.337
2015-07-27 02:00:00,31.083,32.333
2015-07-27 03:00:00,31.098,32.325
2015-07-27 04:00:00,31.111,32.333
2015-07-27 05:00:00,31.118,32.355
2015-07-27 06:00:00,31.118,32.348
2015-07-27 07:00:00,31.117,32.35
2015-07-27 08:00:00,31.122,32.361
2015-07-27 09:00:00,31.139,32.351
2015-07-27 10:00:00,31.152,32.352
2015-07-27 11:00:00,31.161,32.361
2015-07-27 12:00:00,31.173,32.351
2015-07-27 13:00:00,31.194,32.341
2015-07-27 14:00:00,31.204,32.336
2015-07-27 15:00:00,31.212,32.327
2015-07-27 16:00:00,31.229,32.34
2015-07-27 17:00:00,31.24,32.352
2015-07-27 18:00:00,31.248,32.343
2015-07-27 19:00:00,31.256,32.362
2015-07-27 20:00:00,31.262,32.335
2015-07-27 21:00:00,31.264,32.337
2015-07-27 22:00:00,31.255,32.347
2015-07-27 23:00:00,31.266,32.342
2015-07-28 00:00:00,31.289,32.34
2015-07-28 01:00:00,31.31,32.316
2015-07-28 02:00:00,31.319,32.323
2015-07-28 03:00:00,31.325,32.326
2015-07-28 04:00:00,31.321,32.334
2015-07-28 05:00:00,31.32,32.341
2015-07-28 06:00:00,31.318,32.317
2015-07-28 07:00:00,31.313,32.329
2015-07-28 08:00:00,31.306,32.301
2015-07-28 09:00:00,31.301,32.303
2015-07-28 10:00:00,31.302,32.318
2015-07-28 11:00:00,31.298,32.32
2015-07-28 12:00:00,31.316,32.334
2015-07-28 13:00:00,31.353,32.35
2015-07-28 14:00:00,31.409,32.335
2015-07-28 15:00:00,31.421,32.34
2015-07-28 16:00:00,31.228,32.343
2015-07-28 17:00:00,31.211,32.356
2015-07-28 18:00:00,31.188,32.365
2015-07-28 19:00:00,31.112,32.345
2015-07-28 20:00:00,31.103,32.339
2015-07-28 21:00:00,31.11,32.334
2015-07-28 22:00:00,31.129,32.327
2015-07-28 23:00:00,31.139,32.323
2015-07-29 00:00:00,31.125,32.307
2015-07-29 01:00:00,31.115,32.338
2015-07-29 02:00:00,31.138,32.339
2015-07-29 03:00:00,31.192,32.347
2015-07-29 04:00:00,31.219,32.356
2015-07-29 05:00:00,31.24,32.306
2015-07-29 06:00:00,31.258,32.292
2015-07-29 07:00:00,31.27,32.317
2015-07-29 08:00:00,31.273,32.308
2015-07-29 09:00:00,31.275,32.325
2015-07-29 10:00:00,31.278,32.331
2015-07-29 11:00:00,31.276,32.344
2015-07-29 12:00:00,31.256,32.348
2015-07-29 13:00:00,31.272,32.321
2015-07-29 14:00:00,31.301,32.208
2015-07-29 15:00:00,31.346,32.272
2015-07-29 16:00:00,31.383,32.173
2015-07-29 17:00:00,31.41,32.171
2015-07-29 18:00:00,31.419,32.228
2015-07-29 19:00:00,31.382,32.208
2015-07-29 20:00:00,31.361,32.141
2015-07-29 21:00:00,31.35,32.242
2015-07-29 22:00:00,31.342,32.267
2015-07-29 23:00:00,31.357,32.151
2015-07-30 00:00:00,31.501,32.205
2015-07-30 01:00:00,31.581,32.247
2015-07-30 02:00:00,31.534,32.228
2015-07-30 03:00:00,31.53,32.294
2015-07-30 04:00:00,31.548,32.321
2015-07-30 05:00:00,31.558,32.35
2015-07-30 06:00:00,31.531,32.355
2015-07-30 07:00:00,31.516,32.335
2015-07-30 08:00:00,31.503,32.322
2015-07-30 09:00:00,31.473,32.237
2015-07-30 10:00:00,31.471,32.353
2015-07-30 11:00:00,31.454,32.247
2015-07-30 12:00:00,31.456,32.27
2015-07-30 13:00:00,31.453,32.309
2015-07-30 14:00:00,31.495,32.31
2015-07-30 15:00:00,31.548,32.268
2015-07-30 16:00:00,31.549,32.259
2015-07-30 17:00:00,31.54,32.286
2015-07-30 18:00:00,31.529,32.325
2015-07-30 19:00:00,31.524,32.273
2015-07-30 20:00:00,31.522,32.216
2015-07-30 21:00:00,31.524,32.271
2015-07-30 22:00:00,31.524,32.313
2015-07-30 23:00:00,31.518,32.322
2015-07-31 00:00:00,31.518,32.339
2015-07-31 01:00:00,31.529,32.342
2015-07-31 02:00:00,31.556,32.346
2015-07-31 03:00:00,31.523,32.355
2015-07-31 04:00:00,31.542,32.325
2015-07-31 05:00:00,31.567,32.317
2015-07-31 06:00:00,31.522,32.296
2015-07-31 07:00:00,31.497,32.273
2015-07-31 08:00:00,31.362,32.295
2015-07-31 09:00:00,31.226,32.314
2015-07-31 10:00:00,31.2,32.317
2015-07-31 11:00:00,31.202,32.324
2015-07-31 12:00:00,31.225,32.334
2015-07-31 13:00:00,31.175,32.344
2015-07-31 14:00:00,31.112,32.373
2015-07-31 15:00:00,31.094,32.363
2015-07-31 16:00:00,31.049,32.366
2015-07-31 17:00:00,31.021,32.364
2015-07-31 18:00:00,31.01,32.348
2015-07-31 19:00:00,31.03,32.342
2015-07-31 20:00:00,31.053,32.369
2015-07-31 21:00:00,31.051,32.369
2015-07-31 22:00:00,30.997,32.363
2015-07-31 23:00:00,30.976,32.355
2015-08-01 00:00:00,30.97,32.358
2015-08-01 01:00:00,30.98,32.383
2015-08-01 02:00:00,30.992,32.397
2015-08-01 03:00:00,31.001,32.407
2015-08-01 04:00:00,31.013,32.395
2015-08-01 05:00:00,31.034,32.364
2015-08-01 06:00:00,31.025,32.38
2015-08-01 07:00:00,30.997,32.387
2015-08-01 08:00:00,30.979,32.401
2015-08-01 09:00:00,30.978,32.404
2015-08-01 10:00:00,30.983,32.41
