time,24kum2a_an9_0005m,24kum2a_an9_0029m
2024-05-27 13:00:00,349.286,360.692
2024-05-27 14:00:00,348.903,359.919
2024-05-27 15:00:00,348.904,359.918
2024-05-27 16:00:00,348.902,360.316
2024-05-27 17:00:00,349.687,359.921
2024-05-27 18:00:00,349.699,359.923
2024-05-27 19:00:00,350.443,359.909
2024-05-27 20:00:00,350.02,360.278
2024-05-27 21:00:00,350.016,360.255
2024-05-27 22:00:00,350.038,360.644
2024-05-27 23:00:00,351.189,361.43
2024-05-28 00:00:00,351.554,361.043
2024-05-28 01:00:00,352.439,361.835
2024-05-28 02:00:00,353.167,362.249
2024-05-28 03:00:00,354.063,362.658
2024-05-28 04:00:00,353.584,363.468
2024-05-28 05:00:00,352.915,363.098
2024-05-28 06:00:00,352.506,363.097
2024-05-28 07:00:00,352.071,363.085
2024-05-28 08:00:00,352.508,362.674
2024-05-28 09:00:00,352.48,362.28
2024-05-28 10:00:00,351.63,362.651
2024-05-28 11:00:00,352.053,362.66
2024-05-28 12:00:00,351.265,362.296
2024-05-28 13:00:00,350.121,361.535
2024-05-28 14:00:00,350.114,361.146
2024-05-28 15:00:00,349.726,361.141
2024-05-28 16:00:00,349.734,361.146
2024-05-28 17:00:00,350.127,361.138
2024-05-28 18:00:00,350.505,361.135
2024-05-28 19:00:00,350.479,361.122
2024-05-28 20:00:00,350.468,361.092
2024-05-28 21:00:00,350.045,360.686
2024-05-28 22:00:00,349.665,360.305
2024-05-28 23:00:00,349.663,359.907
2024-05-29 00:00:00,349.683,360.309
2024-05-29 01:00:00,350.073,360.313
2024-05-29 02:00:00,350.132,360.733
2024-05-29 03:00:00,350.937,361.148
2024-05-29 04:00:00,351.345,361.976
2024-05-29 05:00:00,350.971,361.602
2024-05-29 06:00:00,350.588,361.613
2024-05-29 07:00:00,350.191,361.226
2024-05-29 08:00:00,349.803,360.832
2024-05-29 09:00:00,349.393,360.811
2024-05-29 10:00:00,348.995,360.015
2024-05-29 11:00:00,348.583,360.001
2024-05-29 12:00:00,348.964,360.367
2024-05-29 13:00:00,350.133,360.763
2024-05-29 14:00:00,350.16,361.162
2024-05-29 15:00:00,350.18,361.19
2024-05-29 16:00:00,350.188,361.202
2024-05-29 17:00:00,350.562,361.194
2024-05-29 18:00:00,350.177,360.796
2024-05-29 19:00:00,348.613,359.626
2024-05-29 20:00:00,347.825,358.456
2024-05-29 21:00:00,347.425,358.047
2024-05-29 22:00:00,347.435,357.67
2024-05-29 23:00:00,347.825,358.04
2024-05-30 00:00:00,347.855,358.431
2024-05-30 01:00:00,347.921,358.064
2024-05-30 02:00:00,347.962,358.486
2024-05-30 03:00:00,349.162,358.885
2024-05-30 04:00:00,349.588,359.3
2024-05-30 05:00:00,349.571,359.719
2024-05-30 06:00:00,350.009,359.337
2024-05-30 07:00:00,349.68,359.359
2024-05-30 08:00:00,349.655,359.357
2024-05-30 09:00:00,348.849,358.972
2024-05-30 10:00:00,347.622,358.561
2024-05-30 11:00:00,347.192,358.553
2024-05-30 12:00:00,347.215,358.52
2024-05-30 13:00:00,347.134,358.147
2024-05-30 14:00:00,347.119,358.137
2024-05-30 15:00:00,347.51,358.141
2024-05-30 16:00:00,348.3,358.553
2024-05-30 17:00:00,348.709,358.954
2024-05-30 18:00:00,348.73,358.559
2024-05-30 19:00:00,348.365,358.173
2024-05-30 20:00:00,347.993,357.785
