time,24kum2a_s37_0002m,24kum2a_s37_0030m
2024-05-27 19:00:00,31.269,31.28
2024-05-27 20:00:00,31.28,31.291
2024-05-27 21:00:00,31.288,31.298
2024-05-27 22:00:00,31.314,31.301
2024-05-27 23:00:00,31.292,31.301
2024-05-28 00:00:00,31.293,31.3
2024-05-28 01:00:00,31.26,31.29
2024-05-28 02:00:00,31.284,31.274
2024-05-28 03:00:00,31.216,31.259
2024-05-28 04:00:00,31.245,31.246
2024-05-28 05:00:00,31.206,31.243
2024-05-28 06:00:00,31.208,31.245
2024-05-28 07:00:00,31.244,31.25
2024-05-28 08:00:00,31.241,31.26
2024-05-28 09:00:00,31.255,31.27
2024-05-28 10:00:00,31.303,31.279
2024-05-28 11:00:00,31.264,31.277
2024-05-28 12:00:00,31.25,31.263
2024-05-28 13:00:00,31.245,31.257
2024-05-28 14:00:00,31.247,31.26
2024-05-28 15:00:00,31.248,31.26
2024-05-28 16:00:00,31.243,31.258
2024-05-28 17:00:00,31.242,31.257
2024-05-28 18:00:00,31.253,31.265
2024-05-28 19:00:00,31.268,31.277
2024-05-28 20:00:00,31.281,31.293
2024-05-28 21:00:00,31.295,31.306
2024-05-28 22:00:00,31.3,31.309
2024-05-28 23:00:00,31.299,31.312
2024-05-29 00:00:00,31.295,31.31
2024-05-29 01:00:00,31.288,31.301
2024-05-29 02:00:00,31.271,31.289
2024-05-29 03:00:00,31.256,31.276
2024-05-29 04:00:00,31.244,31.259
2024-05-29 05:00:00,31.241,31.254
2024-05-29 06:00:00,31.24,31.252
2024-05-29 07:00:00,31.24,31.252
2024-05-29 08:00:00,31.243,31.257
2024-05-29 09:00:00,31.253,31.265
2024-05-29 10:00:00,31.264,31.276
2024-05-29 11:00:00,31.274,31.286
2024-05-29 12:00:00,31.277,31.29
2024-05-29 13:00:00,31.264,31.283
2024-05-29 14:00:00,31.251,31.273
2024-05-29 15:00:00,31.243,31.264
2024-05-29 16:00:00,31.242,31.261
2024-05-29 17:00:00,31.248,31.267
2024-05-29 18:00:00,31.261,31.277
2024-05-29 19:00:00,31.273,31.286
2024-05-29 20:00:00,31.28,31.291
2024-05-29 21:00:00,31.287,31.296
2024-05-29 22:00:00,31.291,31.304
2024-05-29 23:00:00,31.298,31.309
2024-05-30 00:00:00,31.291,31.305
2024-05-30 01:00:00,31.282,31.296
2024-05-30 02:00:00,31.26,31.28
2024-05-30 03:00:00,31.245,31.265
2024-05-30 04:00:00,31.232,31.255
2024-05-30 05:00:00,31.224,31.243
2024-05-30 06:00:00,31.211,31.237
2024-05-30 07:00:00,31.199,31.231
2024-05-30 08:00:00,31.206,31.232
2024-05-30 09:00:00,31.223,31.24
2024-05-30 10:00:00,31.242,31.247
2024-05-30 11:00:00,31.252,31.259
2024-05-30 12:00:00,31.268,31.275
2024-05-30 13:00:00,31.271,31.281
2024-05-30 14:00:00,31.27,31.283
2024-05-30 15:00:00,31.267,31.281
2024-05-30 16:00:00,31.259,31.276
2024-05-30 17:00:00,31.251,31.272
2024-05-30 18:00:00,31.248,31.27
2024-05-30 19:00:00,31.244,31.27
2024-05-30 20:00:00,31.25,31.271
2024-05-30 21:00:00,31.25,31.271
2024-05-30 22:00:00,31.257,31.275
2024-05-30 23:00:00,31.266,31.278
2024-05-31 00:00:00,31.271,31.277
2024-05-31 01:00:00,31.274,31.275
2024-05-31 02:00:00,31.261,31.27
2024-05-31 03:00:00,31.259,31.26
2024-05-31 04:00:00,31.253,31.252
2024-05-31 05:00:00,31.237,31.243
2024-05-31 06:00:00,31.21,31.235
2024-05-31 07:00:00,31.224,31.23
2024-05-31 08:00:00,31.215,31.228
2024-05-31 09:00:00,31.178,31.234
2024-05-31 10:00:00,31.218,31.243
2024-05-31 11:00:00,31.231,31.254
2024-05-31 12:00:00,31.257,31.262
2024-05-31 13:00:00,31.259,31.272
2024-05-31 14:00:00,31.267,31.282
2024-05-31 15:00:00,31.234,31.283
2024-05-31 16:00:00,31.259,31.279
2024-05-31 17:00:00,31.252,31.273
2024-05-31 18:00:00,31.239,31.268
2024-05-31 19:00:00,31.237,31.264
2024-05-31 20:00:00,31.232,31.257
2024-05-31 21:00:00,31.236,31.254
2024-05-31 22:00:00,31.236,31.257
2024-05-31 23:00:00,31.242,31.256
2024-06-01 00:00:00,31.245,31.258
2024-06-01 01:00:00,31.248,31.26
2024-06-01 02:00:00,31.25,31.259
2024-06-01 03:00:00,31.248,31.258
2024-06-01 04:00:00,31.244,31.256
2024-06-01 05:00:00,31.236,31.249
