time,24bspr2a_met_telos,24bspr2a_rcmsg_0052m,24bspr2a_s16_0001m,24bspr2a_s37_0053m
2024-05-29 12:00:00,3.03,2.3,2.896,2.319
2024-05-29 13:00:00,2.95,2.303,2.892,2.33
2024-05-29 14:00:00,2.8,2.308,2.885,2.325
2024-05-29 15:00:00,2.79,2.314,2.887,2.343
2024-05-29 16:00:00,2.75,2.306,2.899,2.323
2024-05-29 17:00:00,2.96,2.308,2.922,2.332
2024-05-29 18:00:00,3.05,2.315,2.981,2.34
2024-05-29 19:00:00,3.18,2.337,3.024,2.363
2024-05-29 20:00:00,3.37,2.348,3.091,2.375
2024-05-29 21:00:00,3.52,2.365,3.299,2.381
2024-05-29 22:00:00,3.77,2.369,3.72,2.394
2024-05-29 23:00:00,3.89,2.367,3.962,2.392
2024-05-30 00:00:00,4.04,2.358,3.812,2.383
2024-05-30 01:00:00,4.13,2.332,4.121,2.363
2024-05-30 02:00:00,4.04,2.262,4.246,2.294
2024-05-30 03:00:00,3.97,2.166,3.755,2.217
2024-05-30 04:00:00,3.94,2.118,4.0,2.132
2024-05-30 05:00:00,3.93,2.131,3.782,2.156
2024-05-30 06:00:00,3.96,2.146,3.595,2.168
2024-05-30 07:00:00,4.07,2.156,3.462,2.178
2024-05-30 08:00:00,4.03,2.192,3.385,2.212
2024-05-30 09:00:00,3.99,2.22,3.384,2.223
2024-05-30 10:00:00,3.93,2.306,3.364,2.312
2024-05-30 11:00:00,3.98,2.332,3.341,2.343
2024-05-30 12:00:00,3.86,2.356,3.351,2.365
2024-05-30 13:00:00,3.79,2.346,3.297,2.366
2024-05-30 14:00:00,3.66,2.338,3.233,2.36
2024-05-30 15:00:00,3.62,2.339,3.234,2.36
2024-05-30 16:00:00,3.67,2.327,3.243,2.354
2024-05-30 17:00:00,3.63,2.32,3.265,2.345
2024-05-30 18:00:00,3.7,2.314,3.34,2.338
2024-05-30 19:00:00,3.8,2.328,3.446,2.352
2024-05-30 20:00:00,3.82,2.351,3.557,2.37
2024-05-30 21:00:00,3.85,2.371,3.569,2.394
2024-05-30 22:00:00,3.88,2.383,3.567,2.407
2024-05-30 23:00:00,3.93,2.391,3.61,2.413
2024-05-31 00:00:00,4.01,2.387,3.753,2.415
2024-05-31 01:00:00,4.15,2.37,3.903,2.396
2024-05-31 02:00:00,4.19,2.34,4.014,2.376
2024-05-31 03:00:00,4.1,2.28,4.077,2.31
2024-05-31 04:00:00,4.1,2.244,4.171,2.296
2024-05-31 05:00:00,3.99,2.201,4.152,2.222
2024-05-31 06:00:00,4.12,2.165,4.182,2.196
2024-05-31 07:00:00,4.21,2.149,4.187,2.169
2024-05-31 08:00:00,4.18,2.16,4.184,2.183
2024-05-31 09:00:00,4.16,2.252,4.156,2.218
2024-05-31 10:00:00,4.07,2.34,4.12,2.357
2024-05-31 11:00:00,4.05,2.37,4.079,2.389
2024-05-31 12:00:00,3.87,2.387,3.957,2.411
2024-05-31 13:00:00,3.69,2.391,3.921,2.419
2024-05-31 14:00:00,3.04,2.369,3.879,2.396
2024-05-31 15:00:00,2.02,2.356,3.839,2.382
2024-05-31 16:00:00,2.85,2.348,3.777,2.374
2024-05-31 17:00:00,3.57,2.331,3.723,2.36
2024-05-31 18:00:00,3.8,2.314,3.727,2.342
2024-05-31 19:00:00,3.75,2.308,3.748,2.336
2024-05-31 20:00:00,3.92,2.314,3.818,2.336
2024-05-31 21:00:00,3.93,2.339,3.904,2.355
2024-05-31 22:00:00,3.85,2.374,3.963,2.393
2024-05-31 23:00:00,3.51,2.39,3.905,2.413
2024-06-01 00:00:00,3.45,2.398,3.882,2.425
2024-06-01 01:00:00,3.55,2.396,3.883,2.426
2024-06-01 02:00:00,3.98,2.383,3.877,2.41
2024-06-01 03:00:00,4.22,2.351,3.888,2.38
2024-06-01 04:00:00,4.27,2.316,3.938,2.343
2024-06-01 05:00:00,4.25,2.296,3.995,2.325
2024-06-01 06:00:00,4.27,2.242,3.975,2.268
2024-06-01 07:00:00,4.27,2.2,3.929,2.224
2024-06-01 08:00:00,4.36,2.202,4.024,2.213
2024-06-01 09:00:00,4.41,2.276,3.98,2.29
2024-06-01 10:00:00,4.39,2.327,3.906,2.339
2024-06-01 11:00:00,4.35,2.374,3.916,2.396
2024-06-01 12:00:00,4.38,2.391,3.91,2.421
2024-06-01 13:00:00,4.27,2.389,3.908,2.411
2024-06-01 14:00:00,4.41,2.391,3.87,2.415
2024-06-01 15:00:00,4.45,2.372,3.855,2.401
2024-06-01 16:00:00,4.41,2.357,3.878,2.386
2024-06-01 17:00:00,4.35,2.351,3.912,2.374
2024-06-01 18:00:00,4.32,2.342,3.965,2.372
2024-06-01 19:00:00,4.35,2.327,3.995,2.356
2024-06-01 20:00:00,4.49,2.31,4.07,2.337
2024-06-01 21:00:00,4.57,2.3,4.151,2.324
2024-06-01 22:00:00,4.65,2.315,4.246,2.341
2024-06-01 23:00:00,4.6,2.35,4.331,2.365
2024-06-02 00:00:00,4.62,2.386,4.429,2.412
2024-06-02 01:00:00,4.66,2.396,4.577,2.422
2024-06-02 02:00:00,4.64,2.383,4.626,2.418
2024-06-02 03:00:00,4.7,2.366,4.639,2.393
2024-06-02 04:00:00,4.69,2.347,4.623,2.377
2024-06-02 05:00:00,4.49,2.336,4.579,2.362
2024-06-02 06:00:00,4.5,2.34,4.553,2.362
2024-06-02 07:00:00,4.53,2.344,4.507,2.368
2024-06-02 08:00:00,4.47,2.338,4.489,2.365
2024-06-02 09:00:00,4.42,2.327,4.545,2.354
2024-06-02 10:00:00,4.37,2.322,4.539,2.345
2024-06-02 11:00:00,4.31,2.353,4.526,2.371
2024-06-02 12:00:00,4.27,2.377,4.446,2.402
2024-06-02 13:00:00,4.23,2.38,4.461,2.406
2024-06-02 14:00:00,4.22,2.38,4.462,2.4
2024-06-02 15:00:00,4.21,2.396,4.454,2.415
2024-06-02 16:00:00,4.29,2.415,4.446,2.439
2024-06-02 17:00:00,4.36,2.409,4.454,2.437
2024-06-02 18:00:00,4.35,2.393,4.529,2.418
2024-06-02 19:00:00,4.41,2.372,4.555,2.394
2024-06-02 20:00:00,4.42,2.343,4.634,2.374
2024-06-02 21:00:00,4.56,2.292,4.78,2.326
2024-06-02 22:00:00,4.42,2.271,4.83,2.285
2024-06-02 23:00:00,3.6,2.315,5.021,2.33
2024-06-03 00:00:00,3.73,2.325,5.077,2.351
2024-06-03 01:00:00,4.03,2.349,5.18,2.365
2024-06-03 02:00:00,5.0,2.372,5.224,2.387
2024-06-03 03:00:00,5.21,2.364,5.307,2.391
2024-06-03 04:00:00,5.34,2.36,5.253,2.382
2024-06-03 05:00:00,5.25,2.386,5.072,2.404
2024-06-03 06:00:00,5.17,2.42,4.834,2.436
2024-06-03 07:00:00,5.13,2.437,4.79,2.468
2024-06-03 08:00:00,5.17,2.434,4.711,2.458
2024-06-03 09:00:00,4.96,2.421,4.611,2.45
2024-06-03 10:00:00,4.88,2.401,4.578,2.424
2024-06-03 11:00:00,4.54,2.375,4.506,2.401
2024-06-03 12:00:00,4.34,2.386,4.405,2.402
2024-06-03 13:00:00,4.11,2.416,4.334,2.439
2024-06-03 14:00:00,3.83,2.439,4.158,2.457
2024-06-03 15:00:00,3.66,2.482,4.007,2.501
2024-06-03 16:00:00,3.55,2.518,3.923,2.537
